Time,Date,Home,Visitor,Home Odds,Vis Odds,Predictions,Bet Direction,Bet Sizes
12:10,2021-07-28,Oakland Athletics,San Diego Padres,1.9,1.9,0.55,True,10.0
12:10,2021-07-28,Houston Astros,Seattle Mariners,1.9,1.9,0.55,True,10.0
11:45,2021-07-28,Los Angeles Dodgers,San Francisco Giants,1.9,1.9,0.55,True,10.0
11:38,2021-07-28,Colorado Rockies,Los Angeles Angels,1.9,1.9,0.55,True,10.0
10:10,2021-07-28,Chicago White Sox,Kansas City Royals,1.9,1.9,0.55,True,10.0
10:10,2021-07-28,Detroit Tigers,Minnesota Twins,1.9,1.9,0.55,True,10.0
10:05,2021-07-28,Cincinnati Reds,Chicago Cubs,1.9,1.9,0.55,True,10.0
10:05,2021-07-28,Arizona Diamondbacks,Texas Rangers,1.9,1.9,0.55,True,10.0
09:10,2021-07-28,St. Louis Cardinals,Cleveland Indians,1.9,1.9,0.55,True,10.0
09:10,2021-07-28,Atlanta Braves,New York Mets,1.9,1.9,0.55,True,10.0
09:10,2021-07-28,New York Yankees,Tampa Bay Rays,1.9,1.9,0.55,True,10.0
09:05,2021-07-28,Miami Marlins,Baltimore Orioles,1.9,1.9,0.55,True,10.0
09:05,2021-07-28,Washington Nationals,Philadelphia Phillies,1.9,1.9,0.55,True,10.0
09:05,2021-07-28,Milwaukee Brewers,Pittsburgh Pirates,1.9,1.9,0.55,True,10.0
